client_id,train_samples,validation_samples,train_class_distribution,validation_class_distribution,train_feature_fingerprint_sha256,train_label_fingerprint_sha256,validation_feature_fingerprint_sha256,validation_label_fingerprint_sha256
client_0,3486,872,"{""0"": 135, ""1"": 12, ""10"": 1, ""11"": 85, ""12"": 23, ""13"": 162, ""14"": 229, ""15"": 1, ""16"": 17, ""17"": 85, ""18"": 2, ""19"": 74, ""2"": 43, ""20"": 59, ""21"": 27, ""22"": 155, ""23"": 96, ""24"": 126, ""25"": 16, ""26"": 31, ""27"": 96, ""28"": 23, ""29"": 1, ""3"": 5, ""30"": 289, ""31"": 3, ""32"": 47, ""33"": 204, ""34"": 2, ""35"": 1, ""36"": 482, ""37"": 56, ""38"": 363, ""39"": 6, ""4"": 44, ""40"": 88, ""43"": 75, ""44"": 28, ""45"": 1, ""5"": 69, ""6"": 4, ""7"": 92, ""8"": 10, ""9"": 118}","{""0"": 36, ""1"": 6, ""11"": 30, ""12"": 5, ""13"": 33, ""14"": 61, ""15"": 1, ""16"": 7, ""17"": 23, ""19"": 20, ""2"": 7, ""20"": 15, ""21"": 8, ""22"": 34, ""23"": 11, ""24"": 37, ""25"": 6, ""26"": 5, ""27"": 17, ""28"": 5, ""3"": 1, ""30"": 60, ""31"": 1, ""32"": 15, ""33"": 48, ""36"": 132, ""37"": 12, ""38"": 91, ""39"": 3, ""4"": 12, ""40"": 20, ""43"": 17, ""44"": 8, ""45"": 1, ""5"": 25, ""6"": 5, ""7"": 13, ""8"": 4, ""9"": 37}",1c22ed850a2936a08aa6c7e6cd954f647eae30f7e1c1b6989f92411725379365,23ba989937e22407bc05035fb799bef5e40510d57c31df898803adfd70aa640d,e328ccef71a14ff9c081a5e85a0f58ee2f7f7ef4bbb0a50dfccba58b73495adf,acbd2d90d2f228c995930e1510d6826dc985e3c3942fd41ffbfa1fc738759968
client_1,5532,1383,"{""0"": 27, ""1"": 16, ""10"": 503, ""11"": 11, ""12"": 36, ""13"": 259, ""14"": 355, ""15"": 184, ""16"": 121, ""17"": 231, ""18"": 158, ""19"": 60, ""2"": 245, ""20"": 63, ""21"": 40, ""22"": 81, ""24"": 110, ""25"": 138, ""26"": 14, ""27"": 33, ""28"": 1, ""29"": 21, ""3"": 42, ""30"": 774, ""31"": 1, ""32"": 85, ""33"": 14, ""34"": 8, ""35"": 5, ""36"": 106, ""37"": 6, ""38"": 14, ""39"": 2, ""4"": 6, ""40"": 137, ""41"": 50, ""42"": 303, ""43"": 12, ""44"": 1, ""45"": 259, ""46"": 59, ""5"": 333, ""6"": 92, ""7"": 390, ""8"": 74, ""9"": 52}","{""0"": 7, ""1"": 5, ""10"": 133, ""11"": 2, ""12"": 5, ""13"": 63, ""14"": 102, ""15"": 51, ""16"": 41, ""17"": 73, ""18"": 32, ""19"": 13, ""2"": 50, ""20"": 23, ""21"": 5, ""22"": 20, ""23"": 1, ""24"": 25, ""25"": 39, ""26"": 1, ""27"": 10, ""29"": 3, ""3"": 9, ""30"": 195, ""32"": 17, ""33"": 2, ""34"": 2, ""36"": 16, ""37"": 2, ""38"": 2, ""39"": 2, ""40"": 41, ""41"": 10, ""42"": 79, ""43"": 3, ""44"": 1, ""45"": 74, ""46"": 17, ""5"": 66, ""6"": 24, ""7"": 82, ""8"": 11, ""9"": 24}",0e3748284cd8ed7ec4a91a6ea4bf077141266cc6773ec1d85a0231a2a88263e5,1839d2713da9c8f982882611317fbb5f1f7858269fe2728f76c27004aee9f24c,1e1ffb0500728f9e5a270d00bb343d58b2fe4b0bb7a00697bd97be47ca8bbd41,be075fcb2490a1778fe91be666da6408401da51c878027ef823de6d96386f269
client_2,3275,819,"{""0"": 8, ""1"": 159, ""10"": 9, ""11"": 133, ""13"": 30, ""14"": 47, ""15"": 1, ""16"": 3, ""17"": 4, ""18"": 44, ""19"": 115, ""2"": 4, ""20"": 27, ""21"": 229, ""22"": 116, ""23"": 434, ""24"": 2, ""25"": 111, ""26"": 22, ""27"": 306, ""28"": 54, ""29"": 159, ""3"": 188, ""31"": 57, ""32"": 7, ""33"": 110, ""34"": 14, ""35"": 18, ""36"": 11, ""37"": 5, ""38"": 37, ""39"": 13, ""4"": 1, ""40"": 8, ""42"": 9, ""43"": 6, ""44"": 127, ""45"": 46, ""46"": 67, ""5"": 1, ""6"": 71, ""7"": 292, ""8"": 19, ""9"": 151}","{""1"": 44, ""10"": 2, ""11"": 37, ""13"": 8, ""14"": 9, ""15"": 1, ""18"": 13, ""19"": 27, ""2"": 2, ""20"": 5, ""21"": 68, ""22"": 37, ""23"": 114, ""25"": 14, ""26"": 2, ""27"": 73, ""28"": 9, ""29"": 46, ""3"": 42, ""31"": 13, ""32"": 2, ""33"": 22, ""34"": 2, ""35"": 3, ""36"": 2, ""38"": 9, ""39"": 4, ""40"": 2, ""42"": 4, ""43"": 3, ""44"": 34, ""45"": 17, ""46"": 18, ""6"": 11, ""7"": 80, ""8"": 3, ""9"": 37}",e98f092943fcc298852d28e02700df6bca334d1d7e96472aab78b0282aa1681d,6c2837aedca994cbdb0edcd7959ec9d422cf3f417f562513c11aa24483f184eb,492bed66cef8b3502fd492733d0afb7a933b4848faf43f4b540647a87aac7f77,0fbaa746c1548d77ebf3a720976bfd82426b82e4c43100e0f38c5bac906350ed
client_3,3394,849,"{""0"": 16, ""1"": 110, ""10"": 3, ""11"": 7, ""12"": 31, ""13"": 1, ""14"": 29, ""15"": 9, ""16"": 57, ""17"": 14, ""18"": 7, ""19"": 8, ""2"": 81, ""20"": 23, ""21"": 13, ""23"": 48, ""24"": 1, ""25"": 18, ""26"": 16, ""27"": 49, ""29"": 24, ""3"": 36, ""30"": 11, ""31"": 278, ""32"": 330, ""33"": 146, ""34"": 100, ""35"": 173, ""36"": 180, ""37"": 98, ""38"": 39, ""39"": 10, ""4"": 201, ""40"": 28, ""41"": 208, ""42"": 183, ""43"": 5, ""44"": 215, ""45"": 162, ""46"": 5, ""5"": 37, ""6"": 82, ""7"": 119, ""8"": 138, ""9"": 45}","{""0"": 3, ""1"": 30, ""10"": 2, ""11"": 2, ""12"": 5, ""14"": 12, ""16"": 19, ""17"": 5, ""18"": 3, ""19"": 1, ""2"": 21, ""20"": 8, ""21"": 2, ""23"": 11, ""24"": 1, ""25"": 4, ""26"": 2, ""27"": 12, ""29"": 5, ""3"": 8, ""30"": 1, ""31"": 57, ""32"": 74, ""33"": 38, ""34"": 35, ""35"": 33, ""36"": 39, ""37"": 36, ""38"": 13, ""39"": 2, ""4"": 53, ""40"": 7, ""41"": 50, ""42"": 47, ""43"": 2, ""44"": 55, ""45"": 36, ""46"": 3, ""5"": 14, ""6"": 26, ""7"": 34, ""8"": 21, ""9"": 17}",165a27da0db4369a5694d0dc5d69f32c9e433dcc5a209b181f56222484948d8c,f741e41fa4cf38355d8f6630e446f3bbd00f7c8df0300a7584294051b7c41852,766ad137e0ef1af5c626c8ab242fc908df7641b0df8a48789a2a6710067f61ce,4da0db00263c3a87bab0a6dd5161dd383a1f835065e649fc80112e26e4070af4
client_4,4300,1076,"{""0"": 15, ""1"": 124, ""10"": 267, ""11"": 535, ""12"": 189, ""13"": 20, ""14"": 87, ""15"": 257, ""16"": 59, ""17"": 1, ""18"": 10, ""19"": 4, ""2"": 119, ""20"": 30, ""21"": 27, ""22"": 2, ""23"": 173, ""24"": 88, ""25"": 72, ""26"": 693, ""27"": 103, ""28"": 88, ""29"": 198, ""3"": 8, ""30"": 68, ""31"": 9, ""32"": 73, ""33"": 9, ""34"": 39, ""35"": 12, ""36"": 7, ""37"": 66, ""38"": 28, ""39"": 83, ""4"": 1, ""40"": 12, ""41"": 2, ""42"": 354, ""43"": 44, ""44"": 8, ""45"": 7, ""46"": 4, ""5"": 31, ""6"": 152, ""7"": 5, ""8"": 27, ""9"": 90}","{""0"": 2, ""1"": 30, ""10"": 73, ""11"": 148, ""12"": 51, ""13"": 2, ""14"": 22, ""15"": 51, ""16"": 13, ""18"": 2, ""2"": 26, ""20"": 10, ""21"": 8, ""22"": 2, ""23"": 45, ""24"": 21, ""25"": 20, ""26"": 155, ""27"": 22, ""28"": 14, ""29"": 58, ""3"": 2, ""30"": 12, ""31"": 4, ""32"": 12, ""33"": 2, ""34"": 12, ""35"": 4, ""36"": 1, ""37"": 19, ""38"": 11, ""39"": 30, ""40"": 4, ""41"": 1, ""42"": 102, ""43"": 6, ""44"": 2, ""45"": 3, ""46"": 2, ""5"": 6, ""6"": 27, ""7"": 2, ""8"": 12, ""9"": 25}",4990a2e1e03950998cbff185def6ff89c8ee409e26ad8167ce1e6c48bed3901b,ca9c06f5f4ee343f115cabb2cf4bdce58a9990fd0ee1c305ed659b43d438539a,deb6c555b53d03abaa07acb398d8b77d9f687f7463c8c1c131fb5c574051efab,96d0a41238cadf8d4c92f8e2237b6b18ab917e526201f84244759782306788a8
client_5,5108,1277,"{""0"": 24, ""1"": 26, ""10"": 8, ""11"": 9, ""12"": 113, ""13"": 40, ""14"": 41, ""15"": 2, ""16"": 23, ""17"": 275, ""18"": 256, ""19"": 24, ""2"": 135, ""20"": 54, ""21"": 1, ""23"": 42, ""24"": 501, ""25"": 189, ""26"": 9, ""27"": 180, ""28"": 56, ""29"": 80, ""30"": 75, ""31"": 5, ""32"": 146, ""33"": 396, ""34"": 7, ""35"": 585, ""36"": 111, ""37"": 399, ""38"": 87, ""39"": 91, ""4"": 20, ""40"": 37, ""41"": 249, ""42"": 4, ""43"": 1, ""44"": 39, ""45"": 15, ""46"": 73, ""5"": 29, ""6"": 89, ""7"": 37, ""8"": 504, ""9"": 21}","{""0"": 7, ""1"": 6, ""10"": 5, ""11"": 5, ""12"": 31, ""13"": 8, ""14"": 10, ""16"": 7, ""17"": 89, ""18"": 66, ""19"": 6, ""2"": 38, ""20"": 18, ""23"": 12, ""24"": 128, ""25"": 52, ""26"": 1, ""27"": 39, ""28"": 14, ""29"": 17, ""30"": 25, ""32"": 33, ""33"": 91, ""34"": 2, ""35"": 146, ""36"": 25, ""37"": 91, ""38"": 16, ""39"": 22, ""4"": 6, ""40"": 4, ""41"": 70, ""42"": 1, ""43"": 1, ""44"": 6, ""45"": 1, ""46"": 22, ""5"": 6, ""6"": 24, ""7"": 9, ""8"": 117}",4252465411ee8497b746421d3e3c99c93c4952a72249a2e8eeb9699d5e55f7a2,691f4bc7ca63f53ec52c3cdd3ff9c157d2e46df8cfc85e09391a0ce9689b323f,60bad77cafd094371b01ad88b1766fab2143d3612719998f63059230bc47252b,fca235aaa4644b37251b943a5bba396b52ebb45ac0a0ca75a0468c0f784fbd9c
client_6,4595,1149,"{""0"": 291, ""1"": 318, ""10"": 75, ""11"": 19, ""13"": 63, ""14"": 20, ""15"": 22, ""16"": 40, ""17"": 268, ""18"": 46, ""19"": 214, ""2"": 232, ""20"": 103, ""22"": 1, ""23"": 41, ""25"": 106, ""26"": 35, ""27"": 1, ""28"": 508, ""29"": 3, ""3"": 61, ""30"": 71, ""31"": 534, ""32"": 62, ""33"": 203, ""34"": 49, ""35"": 17, ""36"": 285, ""37"": 13, ""38"": 6, ""39"": 94, ""4"": 22, ""40"": 1, ""41"": 44, ""42"": 69, ""43"": 45, ""44"": 83, ""45"": 76, ""46"": 24, ""5"": 161, ""6"": 87, ""7"": 7, ""8"": 100, ""9"": 75}","{""0"": 67, ""1"": 65, ""10"": 23, ""11"": 6, ""13"": 24, ""14"": 3, ""15"": 5, ""16"": 4, ""17"": 57, ""18"": 17, ""19"": 47, ""2"": 65, ""20"": 36, ""23"": 18, ""25"": 13, ""26"": 6, ""28"": 106, ""29"": 2, ""3"": 14, ""30"": 17, ""31"": 164, ""32"": 19, ""33"": 50, ""34"": 11, ""35"": 5, ""36"": 61, ""37"": 5, ""38"": 1, ""39"": 24, ""4"": 10, ""40"": 1, ""41"": 12, ""42"": 11, ""43"": 13, ""44"": 22, ""45"": 14, ""46"": 3, ""5"": 48, ""6"": 23, ""7"": 1, ""8"": 35, ""9"": 21}",cbe27e039ab56640f8256f8d792c2a2b11db8d8e2b94ff42d180ad6a325484bd,c56724ad0074b9397fd93fb28277f286d49b24fd7df7850456c910c29ce971c8,15fafb5fb31caa23e2923f85677b45abc7416392b71a228be186b1cd0d44786f,5c514592fefe3af39e75971a4385c2930585ccb6ea340af0ef3e8e9486b404ae
client_7,6211,1553,"{""0"": 176, ""1"": 24, ""10"": 183, ""11"": 192, ""12"": 532, ""13"": 6, ""14"": 138, ""15"": 133, ""16"": 69, ""17"": 452, ""18"": 22, ""19"": 86, ""2"": 115, ""20"": 12, ""21"": 142, ""22"": 53, ""23"": 449, ""24"": 73, ""25"": 149, ""27"": 129, ""28"": 260, ""29"": 163, ""3"": 98, ""30"": 5, ""31"": 113, ""32"": 56, ""33"": 80, ""34"": 10, ""35"": 58, ""36"": 135, ""37"": 185, ""38"": 57, ""39"": 177, ""4"": 59, ""40"": 477, ""41"": 206, ""42"": 19, ""43"": 12, ""44"": 177, ""45"": 6, ""46"": 5, ""5"": 190, ""6"": 215, ""7"": 115, ""8"": 31, ""9"": 167}","{""0"": 43, ""1"": 6, ""10"": 51, ""11"": 48, ""12"": 143, ""13"": 1, ""14"": 35, ""15"": 39, ""16"": 10, ""17"": 116, ""18"": 5, ""19"": 15, ""2"": 40, ""20"": 9, ""21"": 32, ""22"": 17, ""23"": 124, ""24"": 14, ""25"": 39, ""26"": 1, ""27"": 18, ""28"": 49, ""29"": 36, ""3"": 18, ""30"": 2, ""31"": 30, ""32"": 15, ""33"": 25, ""34"": 4, ""35"": 16, ""36"": 35, ""37"": 50, ""38"": 9, ""39"": 37, ""4"": 8, ""40"": 125, ""41"": 51, ""42"": 2, ""43"": 1, ""44"": 50, ""45"": 6, ""5"": 54, ""6"": 58, ""7"": 25, ""8"": 5, ""9"": 36}",481e5cbcedf9940d55dbaf58930a86cc5f7af7836b8d6183d652e28cfe61a5f9,f0c11800a8df82edadd912575eddf0c73b01aac9ebd5779aa703b74f2bdc5aa9,9cc05c0318cde81f8c941fd8802df4918ea02a5038c8221cd0f1dfdd472a3780,4d5431d1f80d047040522930758418a651807361278e665460123ead30fe18fb
client_8,3031,758,"{""0"": 7, ""1"": 130, ""11"": 9, ""12"": 33, ""13"": 10, ""14"": 123, ""15"": 98, ""17"": 33, ""18"": 3, ""19"": 1, ""2"": 5, ""20"": 2, ""21"": 116, ""22"": 440, ""23"": 17, ""24"": 31, ""26"": 68, ""27"": 1, ""28"": 1, ""29"": 25, ""30"": 15, ""31"": 8, ""32"": 17, ""33"": 75, ""34"": 11, ""35"": 3, ""37"": 285, ""38"": 240, ""39"": 52, ""4"": 124, ""40"": 87, ""41"": 22, ""42"": 8, ""43"": 527, ""44"": 83, ""45"": 93, ""46"": 26, ""5"": 49, ""6"": 11, ""7"": 5, ""8"": 6, ""9"": 131}","{""0"": 6, ""1"": 35, ""11"": 2, ""12"": 2, ""13"": 1, ""14"": 28, ""15"": 25, ""17"": 11, ""18"": 3, ""2"": 5, ""20"": 1, ""21"": 26, ""22"": 110, ""23"": 4, ""24"": 6, ""26"": 12, ""29"": 6, ""30"": 7, ""31"": 1, ""32"": 3, ""33"": 17, ""35"": 2, ""37"": 72, ""38"": 55, ""39"": 15, ""4"": 27, ""40"": 29, ""41"": 3, ""43"": 136, ""44"": 25, ""45"": 23, ""46"": 8, ""5"": 16, ""6"": 4, ""7"": 1, ""8"": 1, ""9"": 30}",26c8f30540e0258e623bfff71f5acc00fb9cfdb1f577eff495312843a9713e66,52d6ea293f0a43448b325329cc9a2a71d8e72386b16459fe3a4a12d9d6432c23,b2cb80bbdcee42910728cd3355f7e91950e243ce65fb8d0fdd64fa0e3cbf64e5,983b23e003d6216bc659b7c5a3d3855613ffe9e99c55bbaf794580b13db8f656
client_9,4794,1199,"{""0"": 412, ""1"": 141, ""10"": 105, ""11"": 240, ""12"": 142, ""13"": 127, ""14"": 58, ""15"": 79, ""16"": 5, ""17"": 63, ""19"": 169, ""2"": 189, ""20"": 2, ""21"": 13, ""22"": 37, ""23"": 7, ""24"": 72, ""25"": 68, ""26"": 578, ""27"": 182, ""28"": 80, ""29"": 14, ""3"": 780, ""30"": 72, ""31"": 24, ""32"": 40, ""33"": 18, ""34"": 121, ""35"": 108, ""36"": 46, ""37"": 32, ""38"": 302, ""39"": 10, ""40"": 13, ""41"": 3, ""43"": 104, ""44"": 42, ""45"": 16, ""46"": 2, ""5"": 214, ""6"": 40, ""7"": 2, ""8"": 22}","{""0"": 110, ""1"": 45, ""10"": 29, ""11"": 61, ""12"": 37, ""13"": 23, ""14"": 14, ""15"": 19, ""16"": 5, ""17"": 15, ""19"": 36, ""2"": 38, ""21"": 5, ""22"": 10, ""23"": 1, ""24"": 19, ""25"": 18, ""26"": 126, ""27"": 31, ""28"": 16, ""29"": 1, ""3"": 191, ""30"": 18, ""31"": 7, ""32"": 6, ""33"": 1, ""34"": 34, ""35"": 31, ""36"": 14, ""37"": 13, ""38"": 84, ""39"": 4, ""40"": 4, ""41"": 1, ""43"": 31, ""44"": 20, ""45"": 6, ""5"": 54, ""6"": 16, ""8"": 5}",ab863a5c8692d7046bf9e4219f31da1f8067bbe1c4a836fe49ba786b8c045e3f,9fb1fee9e0d987f96f2f422828d7ddd3b8dc1bd93c9c0b2465c67c118f49556b,1a899155dc73a4c33a1866baba56059018280cfdaf6228bf97a65f3912e1465e,08cbafcdbbb8ccbedbac451e948c875a120b5f0a808ed96572cab0968927738f
